host_total_listings_count;neighbourhood;neighbourhood_cleansed;neighbourhood_group_cleansed;city;state;zipcode;market;smart_location;country_code;country;latitude;longitude;property_type;accommodates;bathrooms;bedrooms;beds;price;weekly_price;monthly_price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;availability_30;availability_60;availability_90;availability_365;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;cancellation_policy;reviews_per_month;high_value_amenities;standard_value_amenities;basic_amenities;summary_length;description_length;days_since_first_review;days_since_last_review;room_type_private_room;room_type_shared_room;bed_type_couch;bed_type_futon;bed_type_pullout_sofa;bed_type_real_bed;square_meters
2.0;justicia;universidad;centro;madrid;comunidad de madrid;28004;madrid;madrid spain;es;spain;40.42453981410002;-3.700726783492597;apartment;2;1.0;1.0;1.0;3.218875824868201;;;;5.0;1;0;2;12;2;2;2;2;20;98.0;10.0;10.0;10.0;10.0;10.0;9.0;flexible;3.24;0;2;2;89;185;2936.0;2773.0;True;False;False;False;False;True;24.990907
2.0;;castillejos;tetun;madrid;comunidad de madrid;28020;madrid;madrid spain;es;spain;40.45657812995949;-3.695299929005242;apartment;1;0.0;1.0;1.0;3.58351893845611;;;;;1;0;3;1125;0;0;11;11;15;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.92;2;2;3;22;37;3241.0;2799.0;True;False;False;False;False;True;15.79351
15.0;barajas;casco histrico de barajas;barajas;madrid;comunidad de madrid;28042;madrid;madrid spain;es;spain;40.47468310690524;-3.579183357299045;condominium;4;0.5;1.0;2.0;4.02535169073515;;;;;2;25;1;1125;0;0;0;157;10;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.75;2;2;3;41;41;3149.0;2943.0;True;False;False;False;False;True;30.007669
1.0;;universidad;centro;madrid;comunidad de madrid;28004;madrid;madrid spain;es;spain;40.42727340576168;-3.702584503613141;loft;4;1.0;0.0;2.0;4.0943445622221;;;;20.0;2;10;1;1125;14;44;71;346;20;95.0;9.0;10.0;10.0;10.0;10.0;9.0;strict;1.3;0;4;2;21;21;3214.0;2758.0;False;False;False;False;False;True;44.965052
8.0;malasaa;universidad;centro;madrid;comunidad de madrid;28004;madrid;madrid spain;es;spain;40.42099290450822;-3.706508377073326;apartment;3;1.0;1.0;2.0;4.02535169073515;;;100.0;25.0;2;25;2;1125;0;0;3;105;10;90.0;9.0;9.0;9.0;10.0;10.0;9.0;strict;1.81;1;3;2;87;87;2917.0;2793.0;False;False;False;False;True;False;44.965052
1.0;;cleveland heights;;oakland;ca;94610;east bay ca;oakland ca;us;united states;37.808046563363135;-122.2480397807492;apartment;3;1.0;1.0;1.0;5.303304908059076;;;150.0;80.0;1;0;2;14;30;60;90;365;2;90.0;10.0;9.0;10.0;10.0;10.0;10.0;flexible;0.26;0;2;4;50;186;3317.0;3214.0;False;False;False;False;False;True;44.965052
1.0;;acacias;arganzuela;madrid;comunidad de madrid;28005;madrid;madrid spain;es;spain;40.400029637251066;-3.707907920257976;apartment;1;1.0;1.0;1.0;3.218875824868201;;;;;1;0;1;1125;12;42;72;347;31;91.0;10.0;9.0;10.0;10.0;9.0;9.0;flexible;4.58;1;2;2;15;141;2954.0;2765.0;True;False;False;False;False;True;15.79351
6.0;justicia;justicia;centro;madrid;comunidad de madrid;28004;madrid;madrid spain;es;spain;40.42499707324492;-3.696269845824432;apartment;4;2.5;2.0;3.0;5.3471075307174685;;;300.0;70.0;1;0;5;1125;9;9;13;13;0;;;;;;;;strict;;1;3;3;22;35;;;False;False;False;False;False;True;65.0321
1.0;;san isidro;carabanchel;madrid;comunidad de madrid;28019;madrid;madrid spain;es;spain;40.39511240404318;-3.727921954906888;house;2;2.0;1.0;1.0;3.58351893845611;300.0;1100.0;100.0;15.0;1;15;2;31;12;42;72;103;34;96.0;10.0;10.0;10.0;10.0;9.0;10.0;moderate;0.94;1;5;2;44;177;3833.0;2931.0;True;False;False;True;False;False;20.4851115
1.0;almenara;almenara;tetun;madrid;comunidad de madrid;28029;madrid;madrid spain;es;spain;40.46663450499232;-3.693983533219273;apartment;2;1.0;1.0;1.0;3.367295829986474;;;150.0;18.0;1;13;1;1125;25;55;85;360;6;93.0;10.0;10.0;10.0;10.0;8.0;10.0;moderate;3.67;1;4;3;15;94;2800.0;2757.0;True;False;False;False;False;True;24.990907
