host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,availability_365,square_meters,review_activity_duration,amenity_score,summary_content_score,description_content_score,property_type_weighted,room_type_encoded,bed_type_encoded,cancellation_policy_numeric,neighbourhood_group_cleansed_encoded,neighbourhood_cleansed_encoded,neighbourhood_encoded,city_encoded,state_encoded,zipcode_encoded,market_encoded,country_encoded,price_log,review_overall_score
2.0,40.42199619694109,-3.7035613841614494,2,1.0,1,1,150.0,20.0,1,319,24.990907,813.0,33,12,15,0.3333333333333333,0.15037580105041076,0.8520040280841519,2,8,67.77452830188679,67.91066282420749,67.8210655120482,63.69439421338156,74.4219734079776,67.7640712945591,71.77488172810854,3.688879454113936,19.633333333333333
1.0,40.4297901610717,-3.6956656966646433,2,1.0,1,1,150.0,20.0,1,0,24.990907,359.0,16,7,7,0.3333333333333333,0.15037580105041076,0.8520040280841519,1,10,80.22689075630252,106.27388535031848,67.8210655120482,68.19055374592834,77.42207792207792,67.7640712945591,71.77488172810854,3.688879454113936,17.134444444444444
2.0,40.43489199837924,-3.669845595005228,1,1.5,1,1,90.0,20.0,1,0,19.974145,0.0,14,3,12,0.3333333333333333,0.15037580105041076,0.8520040280841519,1,35,48.49305555555556,47.013698630136986,67.8210655120482,68.19055374592834,52.051886792452834,67.7640712945591,71.77488172810854,2.995732273553991,17.89888888888889
1.0,40.41013169958116,-3.702233408033628,6,1.0,2,4,150.0,30.0,4,234,69.955959,1204.0,26,15,21,0.3333333333333333,1.0,0.8520040280841519,2,8,60.703778677462886,59.554729011689695,67.8210655120482,66.70741482965931,67.57546602525557,67.7640712945591,71.77488172810854,4.553876891600541,37.82888888888888
10.0,40.419328752345805,-3.7061847753517454,4,1.0,0,3,150.0,25.0,1,336,37.997327,1131.0,15,14,20,0.3333333333333333,1.0,0.8520040280841519,3,8,85.71021992238033,84.62020460358056,67.8210655120482,66.70741482965931,74.4219734079776,67.7640712945591,71.77488172810854,4.219507705176107,18.987777777777776
1.0,40.39722274730273,-3.717236695662821,4,1.0,2,2,350.0,50.0,5,327,49.4708475,500.0,31,9,20,0.6666666666666667,1.0,0.8520040280841519,3,7,49.74666666666667,39.97952218430034,67.8210655120482,68.19055374592834,40.595238095238095,67.7640712945591,71.77488172810854,4.442651256490317,19.926666666666662
2.0,40.46294916236096,-3.690356302168056,2,1.0,1,1,300.0,20.0,1,0,24.990907,359.0,20,4,6,0.3333333333333333,1.0,0.8520040280841519,1,41,67.06153846153846,66.68181818181819,67.8210655120482,68.19055374592834,66.9320987654321,67.7640712945591,71.77488172810854,4.605170185988092,17.134444444444444
1.0,40.412536361455686,-3.7016717476186938,1,1.0,1,2,90.0,20.0,1,326,19.974145,1012.0,25,10,20,0.3333333333333333,0.15037580105041076,0.8520040280841519,2,8,60.703778677462886,59.554729011689695,67.8210655120482,66.70741482965931,67.57546602525557,67.7640712945591,71.77488172810854,3.218875824868201,21.55777777777778
2.0,40.41195945370166,-3.706368905263167,4,1.0,1,1,150.0,20.0,1,350,49.4708475,309.0,33,9,18,0.3333333333333333,1.0,0.8520040280841519,3,8,60.703778677462886,67.88117770767613,67.8210655120482,68.19055374592834,67.76751269035533,67.7640712945591,71.77488172810854,4.3694478524670215,17.762222222222224
1.0,40.4713701939558,-3.585842319326692,4,1.0,2,2,100.0,15.0,3,95,65.0321,288.0,34,7,13,0.3333333333333333,1.0,0.8520040280841519,2,2,72.78571428571429,59.43076923076923,67.8210655120482,63.69439421338156,62.14473684210526,67.7640712945591,71.77488172810854,4.04305126783455,25.385555555555555
1.0,40.40266729116292,-3.701760601886138,2,1.0,1,1,150.0,20.0,1,0,24.990907,51.0,23,9,9,0.3333333333333333,0.15037580105041076,0.8520040280841519,1,0,44.891666666666666,45.223214285714285,67.8210655120482,68.19055374592834,67.57546602525557,67.7640712945591,71.77488172810854,2.995732273553991,17.865555555555556
1.0,40.46703472881566,-3.581097815725425,5,3.0,3,3,100.0,15.0,1,344,8.36127,83.0,52,15,17,0.6666666666666667,0.15037580105041076,0.8520040280841519,2,2,36.16666666666666,59.43076923076923,67.8210655120482,68.19055374592834,62.14473684210526,67.7640712945591,71.77488172810854,3.8918202981106265,18.81888888888889
1.0,40.40243859224763,-3.694107174257378,2,1.0,0,1,100.0,25.0,1,333,30.007669,35.0,23,11,16,0.3333333333333333,1.0,0.8520040280841519,2,0,53.195238095238096,53.21904761904762,67.8210655120482,68.19055374592834,45.323232323232325,67.7640712945591,71.77488172810854,4.174387269895637,17.864444444444445
4.0,40.42126907572793,-3.703387976631215,4,1.0,1,2,100.0,20.0,2,315,47.7056905,663.0,21,7,14,0.3333333333333333,1.0,0.8520040280841519,3,8,67.77452830188679,67.91066282420749,67.8210655120482,68.19055374592834,74.4219734079776,67.7640712945591,71.77488172810854,4.0943445622221,29.29444444444444
1.0,40.41086229482607,-3.7003919767515496,4,1.0,2,2,180.0,17.0,2,303,65.0321,741.0,31,11,13,0.3333333333333333,1.0,0.8520040280841519,2,8,60.703778677462886,59.554729011689695,67.8210655120482,68.19055374592834,67.57546602525557,67.7640712945591,71.77488172810854,4.174387269895637,25.224444444444444
1.0,40.42167875363488,-3.700191118334655,2,1.0,1,2,150.0,5.0,1,30,24.990907,12.0,14,3,3,0.3333333333333333,0.15037580105041076,0.8520040280841519,2,8,79.4913112164297,78.93302180685359,67.8210655120482,68.19055374592834,74.4219734079776,67.7640712945591,71.77488172810854,3.4657359027997265,18.126666666666665
10.0,40.42255137375997,-3.704587798248772,4,1.0,1,2,80.0,30.0,2,305,47.7056905,774.0,17,16,25,0.3333333333333333,1.0,0.8520040280841519,1,8,67.77452830188679,67.91066282420749,67.8210655120482,66.70741482965931,74.4219734079776,67.7640712945591,71.77488172810854,4.382026634673881,19.426666666666662
2.0,40.42131384398439,-3.69868822472083,4,1.0,1,2,150.0,5.0,2,87,47.7056905,73.0,26,9,15,0.3333333333333333,1.0,0.8520040280841519,1,8,79.4913112164297,78.93302180685359,67.8210655120482,68.19055374592834,74.4219734079776,67.7640712945591,71.77488172810854,4.127134385045092,18.88888888888889
1.0,40.40820886678287,-3.70081781690612,1,1.0,0,1,150.0,25.0,1,165,49.4708475,545.0,17,10,10,0.3333333333333333,1.0,0.8520040280841519,2,8,60.703778677462886,59.554729011689695,67.8210655120482,66.70741482965931,67.57546602525557,67.7640712945591,71.77488172810854,3.912023005428146,16.12777777777778
1.0,40.45522727504026,-3.6801831695238447,2,1.0,1,2,150.0,30.0,2,223,24.990907,636.0,31,6,10,0.3333333333333333,1.0,0.8520040280841519,2,9,103.98148148148148,104.72222222222224,67.8210655120482,68.19055374592834,117.65573770491804,67.7640712945591,71.77488172810854,4.007333185232471,22.89444444444445
57.0,40.41744083850359,-3.7054526173304,4,1.0,0,1,100.0,30.0,1,139,39.01926,433.0,34,6,8,0.3333333333333333,1.0,0.8520040280841519,2,8,85.71021992238033,84.62020460358056,67.8210655120482,68.19055374592834,67.57546602525557,67.7640712945591,71.77488172810854,3.8918202981106265,23.198888888888888
1.0,40.41075984268548,-3.701595349755369,2,1.0,1,1,150.0,10.0,2,339,24.990907,217.0,18,7,7,0.3333333333333333,0.15037580105041076,0.8520040280841519,3,8,60.703778677462886,59.554729011689695,67.8210655120482,68.19055374592834,67.57546602525557,67.7640712945591,71.77488172810854,3.4657359027997265,18.51
2.0,40.40871903111559,-3.6047448585276753,2,2.0,1,1,100.0,32.5,2,32,49.4708475,23.0,23,5,13,0.6666666666666667,0.15037580105041076,0.8520040280841519,1,44,23.3,35.56666666666667,67.8210655120482,68.19055374592834,31.035714285714285,67.7640712945591,71.77488172810854,3.1780538303479458,17.621111111111112
6.0,40.391237737949496,-3.669806392420365,1,1.0,1,1,100.0,15.0,1,284,14.028353,610.0,34,2,11,0.6666666666666667,0.15037580105041076,0.8520040280841519,1,32,37.28787878787879,44.59550561797753,67.8210655120482,68.19055374592834,38.27777777777778,67.7640712945591,71.77488172810854,3.295836866004329,22.486666666666665
2.0,40.39622459506132,-3.741686466983179,5,1.0,2,3,150.0,30.0,4,329,49.4708475,359.0,34,4,5,0.6666666666666667,1.0,0.8520040280841519,1,21,37.72,42.19254658385093,67.8210655120482,68.19055374592834,32.84,67.7640712945591,71.77488172810854,4.787491742782046,17.134444444444444
1.0,40.40199935891812,-3.703145995725225,2,1.0,1,1,150.0,5.0,1,28,24.990907,155.0,21,11,11,0.3333333333333333,0.15037580105041076,0.8520040280841519,1,0,44.891666666666666,45.223214285714285,67.8210655120482,68.19055374592834,67.76751269035533,67.7640712945591,71.77488172810854,2.995732273553991,20.996666666666663
4.0,40.41297469071254,-3.70898366744277,6,2.0,2,4,200.0,50.0,4,323,69.955959,405.0,30,9,15,0.3333333333333333,1.0,0.8520040280841519,3,8,77.30385487528345,67.88117770767613,67.8210655120482,68.19055374592834,67.76751269035533,67.7640712945591,71.77488172810854,4.941642422609304,21.67555555555556
4.0,40.41577582438182,-3.707748313335086,1,1.0,1,1,150.0,5.0,1,318,19.974145,194.0,23,14,18,0.3333333333333333,0.15037580105041076,0.8520040280841519,3,8,85.71021992238033,84.62020460358056,67.8210655120482,68.19055374592834,67.57546602525557,67.7640712945591,71.77488172810854,3.555348061489413,20.89444444444445
2.0,40.40553182937409,-3.6427185588748943,2,1.0,2,4,100.0,15.0,1,180,74.97272099999999,359.0,32,6,16,0.3333333333333333,0.15037580105041076,0.8520040280841519,2,27,40.3,44.833333333333336,67.8210655120482,68.19055374592834,38.25,67.7640712945591,71.77488172810854,3.688879454113936,17.134444444444444
1.0,40.43300890085688,-3.710100388354598,1,1.0,1,1,150.0,20.0,1,139,19.974145,543.0,17,5,5,0.3333333333333333,0.15037580105041076,0.8520040280841519,3,10,59.34532374100719,62.88811188811189,67.8210655120482,68.19055374592834,61.73068893528184,67.7640712945591,71.77488172810854,3.367295829986474,28.664444444444445
1.0,40.40673599880702,-3.7077533964307032,4,1.0,2,2,150.0,25.0,2,300,65.0321,501.0,31,8,10,0.3333333333333333,1.0,0.8520040280841519,2,8,60.703778677462886,67.88117770767613,67.8210655120482,68.19055374592834,67.76751269035533,67.7640712945591,71.77488172810854,4.07753744390572,26.046666666666667
