host_total_listings_count,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,reviews_per_month,square_meters,days_since_first_review,days_since_last_review,review_activity_duration,amenity_score,summary_content_score,description_content_score,property_type_weighted,room_type_encoded,bed_type_encoded
17.0,sol,sol,centro,madrid,comunidad de madrid,28013,madrid,"madrid, spain",es,spain,40.41772428479354,-3.700719135320293,entire homeapt,6,2.0,2,3,real bed,275.0,910.0,2650.0,200.0,40.0,2,15,3,1125,0,4,34,309,1,100.0,10.0,10.0,10.0,10.0,10.0,8.0,moderate,0.04,69.955959,3656.0,3656.0,0.0,28,10,10,2,95.02906410791267,74.05585819282318
1.0,embajadores,embajadores,centro,madrid,community of madrid,28012,madrid,"madrid, spain",es,spain,40.40762469623578,-3.699396336485239,entire homeapt,5,1.0,2,3,real bed,55.0,400.0,1250.0,180.0,15.0,3,10,2,1125,0,3,24,115,110,83.0,9.0,9.0,9.0,9.0,9.0,9.0,strict,3.28,74.97272099999999,3838.0,2934.0,904.0,26,10,11,2,95.02906410791267,74.05585819282318
13.0,aluche,lucero,latina,madrid,comunidad de madrid,28011,madrid,"madrid, spain",es,spain,40.40881635352315,-3.742777614866706,private room,2,1.0,1,1,real bed,20.0,140.0,600.0,150.0,10.0,1,7,1,1125,9,32,44,317,15,84.0,8.0,9.0,9.0,9.0,8.0,8.0,strict,0.97,24.990907,3293.0,2950.0,343.0,18,8,19,2,40.90114068441065,74.05585819282318
1.0,justicia,justicia,centro,madrid,community of madrid,28004,madrid,"madrid, spain",es,spain,40.42697730055302,-3.697727683809745,entire homeapt,6,2.0,2,2,real bed,135.0,950.0,3000.0,500.0,60.0,3,20,1,1125,25,51,53,328,40,88.0,9.0,9.0,9.0,10.0,10.0,9.0,strict,1.26,69.955959,3784.0,2929.0,855.0,37,1,15,2,95.02906410791267,74.05585819282318
1.0,cortes,cortes,centro,madrid,community of madrid,28014,madrid,"madrid, spain",es,spain,40.41488772939484,-3.697755876992627,entire homeapt,2,1.0,1,1,real bed,83.0,500.0,2490.0,100.0,20.0,1,0,3,31,0,0,0,265,72,98.0,10.0,10.0,10.0,10.0,10.0,10.0,moderate,2.6,24.990907,3662.0,2841.0,821.0,32,13,16,2,95.02906410791267,74.05585819282318
1.0,embajadores,embajadores,centro,madrid,comunidad de madrid,28012,madrid,"madrid, spain",es,spain,40.41301216620428,-3.704657786133867,entire homeapt,2,1.0,1,3,real bed,75.0,525.0,2250.0,150.0,20.0,2,15,3,1125,15,39,64,323,7,97.0,10.0,10.0,10.0,10.0,10.0,9.0,strict,1.33,24.990907,2989.0,2845.0,144.0,29,8,13,2,95.02906410791267,74.05585819282318
3.0,fuente del berro,fuente del berro,salamanca,madrid,comunidad de madrid,28028,madrid,"madrid, spain",es,spain,40.42210847756984,-3.664456146783988,private room,1,1.0,1,1,real bed,16.0,112.0,480.0,150.0,15.0,1,0,1,1125,0,26,56,56,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,flexible,0.32,19.974145,3112.0,3094.0,18.0,25,11,18,2,40.90114068441065,74.05585819282318
5.0,arguelles,casa de campo,moncloa  aravaca,madrid,comunidad de madrid,28008,madrid,"madrid, spain",es,spain,40.42089875690911,-3.7199191399948535,private room,1,1.0,1,1,real bed,15.0,105.0,450.0,100.0,12.0,1,0,1,1125,0,0,0,0,27,99.0,10.0,10.0,10.0,10.0,10.0,10.0,moderate,2.4,49.4708475,3168.0,2842.0,326.0,38,3,18,1,40.90114068441065,74.05585819282318
3.0,palacio,palacio,centro,madrid,community of madrid,28013,madrid,"madrid, spain",es,spain,40.41991218196815,-3.710371617500229,entire homeapt,4,1.0,1,2,real bed,72.0,440.0,1315.0,100.0,20.0,2,10,3,1125,2,10,26,265,21,97.0,10.0,10.0,10.0,10.0,10.0,10.0,moderate,0.43,47.7056905,4311.0,2852.0,1459.0,26,6,22,2,95.02906410791267,74.05585819282318
2.0,arguelles,arguelles,moncloa  aravaca,madrid,comunidad de madrid,28008,madrid,"madrid, spain",es,spain,40.42975605891377,-3.718372443469602,entire homeapt,4,2.0,2,2,real bed,140.0,980.0,4200.0,100.0,20.0,1,0,3,1125,17,47,77,352,1,100.0,10.0,10.0,10.0,10.0,8.0,10.0,strict,0.19,49.4708475,2990.0,2990.0,0.0,17,12,19,2,95.02906410791267,74.05585819282318
2.0,embajadores,embajadores,centro,madrid,madrid,28012,madrid,"madrid, spain",es,spain,40.40872019054871,-3.699191156687504,entire homeapt,3,1.0,1,2,real bed,71.0,460.0,1500.0,150.0,20.0,2,15,3,30,9,22,43,318,23,96.0,10.0,10.0,10.0,10.0,9.0,10.0,moderate,0.39,44.965052,4607.0,2851.0,1756.0,35,6,9,2,95.02906410791267,74.05585819282318
2.0,hispanoamerica,hispanoamerica,chamartin,madrid,comunidad de madrid,28016,madrid,"madrid, spain",es,spain,40.4538559213055,-3.6815010711230034,entire homeapt,4,1.0,1,2,real bed,120.0,840.0,3600.0,150.0,20.0,1,0,4,1125,0,0,0,251,7,97.0,10.0,10.0,10.0,10.0,10.0,10.0,moderate,1.09,47.7056905,3024.0,2887.0,137.0,47,6,6,2,95.02906410791267,74.05585819282318
2.0,ciudad lineal,ventas,ciudad lineal,madrid,comunidad de madrid,28017,madrid,"madrid, spain",es,spain,40.42531758666431,-3.6575853491566055,private room,1,1.0,1,1,real bed,14.0,98.0,420.0,150.0,20.0,1,5,5,1125,9,27,28,96,7,94.0,9.0,10.0,10.0,9.0,8.0,9.0,flexible,1.33,19.974145,2989.0,2862.0,127.0,28,5,9,2,40.90114068441065,74.05585819282318
1.0,acacias,acacias,arganzuela,madrid,comunidad de madrid,28005,madrid,"madrid, spain",es,spain,40.39893999055257,-3.707316848633333,private room,1,1.0,1,2,real bed,21.0,147.0,630.0,100.0,15.0,1,0,1,1125,21,51,81,81,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,flexible,1.0,14.028353,2838.0,2838.0,0.0,11,1,10,3,40.90114068441065,74.05585819282318
9.0,embajadores,embajadores,centro,madrid,comunidad de madrid,28012,madrid,"madrid, spain",es,spain,40.41137782152838,-3.7022504827400256,entire homeapt,4,1.0,1,2,real bed,60.0,420.0,1800.0,150.0,20.0,2,10,4,1125,6,24,54,140,2,90.0,9.0,8.0,9.0,9.0,10.0,10.0,moderate,2.0,47.7056905,2851.0,2843.0,8.0,24,7,22,2,95.02906410791267,74.05585819282318
3.0,acacias,acacias,arganzuela,madrid,community of madrid,28005,madrid,"madrid, spain",es,spain,40.40110692270909,-3.700534456066473,private room,2,1.0,1,1,real bed,45.0,215.0,575.0,400.0,20.0,1,0,1,10,30,60,90,365,14,83.0,9.0,7.0,10.0,9.0,9.0,8.0,moderate,0.53,24.990907,3629.0,2990.0,639.0,19,5,12,2,40.90114068441065,74.05585819282318
1.0,puente de vallecas,numancia,puente de vallecas,madrid,comunidad de madrid,28038,madrid,"madrid, spain",es,spain,40.400641495226175,-3.665382792749369,entire homeapt,6,1.0,3,4,real bed,65.0,455.0,1950.0,200.0,20.0,5,8,1,1125,16,35,54,285,20,94.0,9.0,9.0,10.0,10.0,9.0,9.0,strict,6.0,99.963628,2931.0,2840.0,91.0,28,9,9,2,95.02906410791267,74.05585819282318
3.0,malasana,universidad,centro,madrid,comunidad de madrid,28015,madrid,"madrid, spain",es,spain,40.42807575128499,-3.7133943547040302,private room,1,1.5,1,1,real bed,30.0,124.0,380.0,100.0,15.0,1,0,2,1125,0,6,36,311,2,100.0,10.0,10.0,9.0,9.0,4.0,6.0,flexible,0.16,14.028353,3204.0,3148.0,56.0,15,7,7,3,40.90114068441065,74.05585819282318
1.0,ciudad lineal,colina,ciudad lineal,madrid,comunidad de madrid,28043,madrid,"madrid, spain",es,spain,40.457764965867774,-3.6571972875268233,private room,2,1.0,1,1,real bed,30.0,210.0,900.0,150.0,20.0,1,0,1,1125,9,27,43,311,0,94.0,10.0,10.0,10.0,10.0,10.0,9.0,strict,1.21,24.990907,3223.0,2864.0,359.0,48,1,1,2,40.90114068441065,74.05585819282318
1.0,la latina,embajadores,centro,madrid,madrid,28005,madrid,"madrid, spain",es,spain,40.40756125513215,-3.708923828331374,entire homeapt,4,1.0,2,3,real bed,62.0,410.0,1200.0,220.0,30.0,1,0,2,30,3,4,19,19,97,90.0,9.0,9.0,9.0,9.0,9.0,9.0,strict,1.8,65.0321,4445.0,2854.0,1591.0,16,17,17,2,95.02906410791267,74.05585819282318
1.0,ibiza,ibiza,retiro,madrid,comunidad de madrid,28009,madrid,"madrid, spain",es,spain,40.41748610801606,-3.674477243589259,private room,1,1.5,3,3,real bed,40.0,280.0,1200.0,100.0,5.0,1,10,3,1125,20,32,62,337,1,80.0,10.0,10.0,8.0,8.0,10.0,10.0,flexible,1.0,49.4708475,2852.0,2852.0,0.0,25,10,14,2,40.90114068441065,74.05585819282318
32.0,fuente del berro,fuente del berro,salamanca,madrid,community of madrid,28028,madrid,"madrid, spain",es,spain,40.42643977793438,-3.66319114164445,private room,2,2.0,1,2,real bed,25.0,150.0,500.0,100.0,25.0,1,25,5,1125,30,60,90,365,0,94.0,10.0,10.0,10.0,10.0,10.0,9.0,strict,1.21,24.990907,3223.0,2864.0,359.0,26,3,3,2,40.90114068441065,74.05585819282318
1.0,carabanchel,san isidro,carabanchel,madrid,comunidad de madrid,28019,madrid,"madrid, spain",es,spain,40.39070823242574,-3.7304464380416578,entire homeapt,6,1.5,3,4,real bed,222.0,1554.0,6660.0,200.0,42.0,1,0,7,1125,30,60,90,180,0,94.0,10.0,10.0,10.0,10.0,10.0,9.0,flexible,1.21,99.963628,3223.0,2864.0,359.0,21,15,15,2,95.02906410791267,74.05585819282318
8.0,pacifico,pacifico,retiro,madrid,madrid,28007,madrid,"madrid, spain",es,spain,40.40446892532359,-3.676979457649085,entire homeapt,5,1.0,1,3,real bed,85.0,385.0,1200.0,150.0,20.0,2,8,2,365,12,38,55,321,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,strict,0.24,3.71612,3201.0,2908.0,293.0,21,8,22,2,95.02906410791267,74.05585819282318
13.0,trafalgar,trafalgar,chamberi,madrid,comunidad de madrid,28010,madrid,"madrid, spain",es,spain,40.42971016692607,-3.703554941957577,entire homeapt,9,1.5,5,5,real bed,78.0,539.0,2280.0,250.0,60.0,1,0,2,1125,0,0,0,0,0,94.0,10.0,10.0,10.0,10.0,10.0,9.0,flexible,1.21,49.4708475,3223.0,2864.0,359.0,11,2,2,2,95.02906410791267,74.05585819282318
4.0,embajadores,embajadores,centro,madrid,comunidad de madrid,28012,madrid,"madrid, spain",es,spain,40.41029281735085,-3.697595985394192,entire homeapt,4,1.0,1,3,real bed,74.0,450.0,1603.0,250.0,55.0,1,0,3,365,5,9,31,299,137,95.0,10.0,10.0,10.0,10.0,10.0,10.0,strict,4.38,47.7056905,3769.0,2844.0,925.0,34,3,16,2,95.02906410791267,74.05585819282318
3.0,embajadores,embajadores,centro,madrid,community of madrid,28012,madrid,"madrid, spain",es,spain,40.41174043624051,-3.703884779810484,entire homeapt,4,1.0,1,2,real bed,85.0,595.0,2550.0,200.0,20.0,1,0,4,10,0,0,0,21,1,80.0,6.0,8.0,4.0,8.0,10.0,8.0,strict,0.12,47.7056905,3086.0,3086.0,0.0,33,2,9,2,95.02906410791267,74.05585819282318
1.0,justicia,justicia,centro,madrid,comunidad de madrid,28004,madrid,"madrid, spain",es,spain,40.42688362154999,-3.701316978965121,entire homeapt,4,1.0,2,2,real bed,100.0,700.0,3000.0,200.0,24.0,1,0,1,1125,0,2,27,302,0,94.0,10.0,10.0,10.0,10.0,10.0,9.0,moderate,1.21,65.0321,3223.0,2864.0,359.0,28,2,2,2,95.02906410791267,74.05585819282318
1.0,la latina,palacio,centro,madrid,community of madrid,28005,madrid,"madrid, spain",es,spain,40.41090351353781,-3.711075764977166,entire homeapt,6,1.0,2,4,real bed,93.0,500.0,1350.0,150.0,50.0,4,5,5,120,2,6,17,292,30,89.0,9.0,10.0,9.0,10.0,10.0,9.0,strict,0.61,69.955959,4306.0,2835.0,1471.0,30,8,8,2,95.02906410791267,74.05585819282318
1.0,cortes,cortes,centro,madrid,comunidad de madrid,28014,madrid,"madrid, spain",es,spain,40.41411898684583,-3.699143207190119,private room,1,1.5,1,1,real bed,16.0,112.0,480.0,175.0,11.0,1,0,2,7,0,0,0,0,2,100.0,10.0,8.0,10.0,10.0,10.0,10.0,strict,0.51,49.4708475,2949.0,2914.0,35.0,25,7,15,2,40.90114068441065,74.05585819282318
1.0,malasana,universidad,centro,madrid,comunidad de madrid,28004,madrid,"madrid, spain",es,spain,40.42190062073777,-3.70343646719092,entire homeapt,3,1.0,1,1,real bed,59.0,413.0,1770.0,100.0,28.0,2,8,2,1125,1,8,8,40,75,92.0,10.0,9.0,10.0,10.0,10.0,9.0,strict,3.36,44.965052,3501.0,2844.0,657.0,40,3,10,2,95.02906410791267,74.05585819282318
11.0,vallehermosa,vallehermoso,chamberi,madrid,comunidad de madrid,28003,madrid,"madrid, spain",es,spain,40.43988852534232,-3.706659650717728,entire homeapt,5,1.0,1,3,real bed,49.0,343.0,1470.0,150.0,30.0,3,10,3,1125,15,45,75,350,0,94.0,10.0,10.0,10.0,10.0,10.0,9.0,strict,1.21,49.981814,3223.0,2864.0,359.0,12,4,4,2,95.02906410791267,74.05585819282318
3.0,sol,palacio,centro,madrid,comunidad de madrid,28013,madrid,"madrid, spain",es,spain,40.41937765372403,-3.708382960852762,entire homeapt,6,2.0,3,4,real bed,144.0,1008.0,4320.0,200.0,35.0,4,25,2,1125,1,3,9,86,78,98.0,10.0,10.0,10.0,10.0,10.0,10.0,strict,6.19,99.963628,3209.0,2838.0,371.0,43,9,15,2,95.02906410791267,74.05585819282318
46.0,aluche,puerta del angel,latina,madrid,comunidad de madrid,28011,madrid,"madrid, spain",es,spain,40.41272671830044,-3.727367127418802,entire homeapt,4,1.0,2,3,real bed,45.0,350.0,900.0,150.0,80.0,3,5,89,1125,0,0,0,128,2,40.0,2.0,3.0,5.0,8.0,9.0,3.0,moderate,0.56,65.0321,2939.0,2927.0,12.0,13,11,19,2,95.02906410791267,74.05585819282318
46.0,malasana,universidad,centro,madrid,comunidad de madrid,28004,madrid,"madrid, spain",es,spain,40.422441456392704,-3.706923655138496,entire homeapt,11,2.0,4,6,real bed,150.0,1050.0,4500.0,200.0,40.0,7,0,1,1125,6,19,33,284,82,80.0,8.0,8.0,9.0,9.0,9.0,8.0,strict,2.56,49.4708475,3792.0,2843.0,949.0,33,10,25,2,95.02906410791267,74.05585819282318
4.0,malasana,universidad,centro,madrid,comunidad de madrid,28004,madrid,"madrid, spain",es,spain,40.42027505445202,-3.704129676273278,entire homeapt,4,1.0,1,1,real bed,75.0,525.0,2250.0,200.0,15.0,2,10,2,1125,10,20,39,306,82,97.0,10.0,10.0,10.0,10.0,10.0,10.0,flexible,5.77,47.7056905,3257.0,2838.0,419.0,27,9,9,2,95.02906410791267,74.05585819282318
1.0,cortes,cortes,centro,madrid,madrid,28014,madrid,"madrid, spain",es,spain,40.411370895952416,-3.6960873616851657,shared room,2,1.0,1,1,real bed,25.0,175.0,750.0,150.0,20.0,1,0,1,3,15,45,75,280,10,78.0,9.0,8.0,9.0,9.0,10.0,8.0,strict,1.83,24.990907,2995.0,2859.0,136.0,24,8,18,2,31.320987654320987,74.05585819282318
1.0,usera,almendrales,usera,madrid,community of madrid,,madrid,"madrid, spain",es,spain,40.380537662964464,-3.701047248813916,entire homeapt,4,1.0,3,3,real bed,290.0,2030.0,8700.0,100.0,50.0,4,30,2,1125,4,22,52,327,3,93.0,10.0,10.0,9.0,9.0,8.0,9.0,moderate,0.7,49.4708475,2960.0,2872.0,88.0,26,6,6,2,95.02906410791267,74.05585819282318
2.0,tour eiffel  champ de mars,palaisbourbon,hortaguinardo,paris,iledefrance,75007,paris,"paris, france",fr,france,48.85615649632648,2.304002252277043,entire homeapt,4,1.0,2,2,real bed,90.0,630.0,2700.0,400.0,35.0,1,0,1,1125,0,0,0,0,0,94.0,10.0,10.0,10.0,10.0,10.0,9.0,flexible,1.21,65.0321,3223.0,2864.0,359.0,32,6,6,2,95.02906410791267,74.05585819282318
10.0,justicia,justicia,centro,madrid,comunidad de madrid,28004,madrid,"madrid, spain",es,spain,40.42354067033959,-3.694868752844112,entire homeapt,6,1.0,3,3,real bed,85.0,595.0,2550.0,200.0,60.0,4,20,3,1125,5,23,42,317,34,98.0,10.0,10.0,10.0,10.0,10.0,10.0,strict,4.21,49.4708475,3073.0,2852.0,221.0,22,5,5,2,95.02906410791267,74.05585819282318
2.0,malasana,universidad,centro,madrid,comunidad de madrid,28004,madrid,"madrid, spain",es,spain,40.42554338346051,-3.7032331649530974,entire homeapt,2,1.0,1,1,real bed,53.0,371.0,1590.0,150.0,30.0,2,0,2,1125,3,3,3,218,26,94.0,10.0,10.0,10.0,10.0,10.0,9.0,moderate,3.86,24.990907,3033.0,2843.0,190.0,28,1,8,2,95.02906410791267,74.05585819282318
